epoch,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
epoch_48,Model-03|0.0652,Model-10|0.0657,Model-02|0.0765,Model-07|0.0775,Model-08|0.0811,Model-06|0.0869,Model-05|0.0904,Model-04|0.0916,Model-09|0.1152,Model-01|0.1573
epoch_49,Model-08|0.0598,Model-10|0.0661,Model-03|0.0676,Model-02|0.0699,Model-07|0.0764,Model-05|0.0780,Model-06|0.0812,Model-04|0.0909,Model-09|0.1087,Model-01|0.1559
epoch_50,Model-08|0.0580,Model-07|0.0650,Model-10|0.0658,Model-02|0.0726,Model-05|0.0754,Model-03|0.0858,Model-06|0.0893,Model-04|0.0924,Model-09|0.1212,Model-01|0.1619
epoch_51,Model-07|0.0654,Model-08|0.0656,Model-03|0.0676,Model-02|0.0739,Model-06|0.0835,Model-09|0.1194,Model-01|0.1582,Model-04|-,Model-05|-,Model-10|-
epoch_52,Model-02|0.0649,Model-03|0.0656,Model-09|0.1278,Model-01|0.1556,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_53,Model-03|0.0711,Model-02|0.0792,Model-09|0.1075,Model-01|0.1594,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_54,Model-03|0.0655,Model-02|0.0758,Model-09|0.1094,Model-01|0.1638,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_55,Model-02|0.0667,Model-09|0.1208,Model-01|0.1536,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_56,Model-02|0.0687,Model-09|0.1260,Model-01|0.1639,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_57,Model-02|0.0673,Model-09|0.1075,Model-01|0.1629,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_58,Model-02|0.0666,Model-09|0.1083,Model-01|0.1542,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_59,Model-02|0.0676,Model-09|0.1038,Model-01|0.1677,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_60,Model-09|0.1060,Model-01|0.1669,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_61,Model-09|0.1054,Model-01|0.1491,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_62,Model-09|0.1046,Model-01|0.1500,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_63,Model-09|0.1000,Model-01|0.1551,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_64,Model-09|0.0998,Model-01|0.1456,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_65,Model-09|0.1032,Model-01|0.1514,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_66,Model-09|0.1027,Model-01|0.1477,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_67,Model-09|0.1058,Model-01|0.1449,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_68,Model-09|0.1033,Model-01|0.1500,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_69,Model-09|0.1059,Model-01|0.1486,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_70,Model-09|0.0982,Model-01|0.1515,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_71,Model-09|0.1019,Model-01|0.1535,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_72,Model-09|0.1013,Model-01|0.1498,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_73,Model-09|0.0974,Model-01|0.1475,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_74,Model-09|0.1008,Model-01|0.1495,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_75,Model-09|0.0987,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_76,Model-09|0.0988,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_77,Model-09|0.0980,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_78,Model-09|0.0965,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_79,Model-09|0.1025,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_80,Model-09|0.0988,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_81,Model-09|0.0987,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_82,Model-09|0.1005,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_83,Model-09|0.0965,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_84,Model-09|0.0974,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_85,Model-09|0.0951,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_86,Model-09|0.0965,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_87,Model-09|0.0968,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_88,Model-09|0.0967,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_89,Model-09|0.0988,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_90,Model-09|0.0994,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_91,Model-09|0.0968,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
epoch_92,Model-09|0.0959,Model-01|-,Model-02|-,Model-03|-,Model-04|-,Model-05|-,Model-06|-,Model-07|-,Model-08|-,Model-10|-
